;meta[language=en]
; id      |key(hex)|key(str)| text
2116942000|1b06cd08||Whenever an enemy begins an attack, time slows down for a short period.
2116942001|1b06cd09||Whenever an enemy begins an attack, time slows down for a short period. Extended duration.
2116942002|1b06cd0a||Whenever an enemy begins an attack, time slows down for a short period. Extended duration.<br>Effect scales with Adrenaline.
2116942003|27d6f7d6||Increases Vigor regeneration.
2116942004|27d6f7d7||Increases Vigor regeneration. Extended duration.
2116942005|27d6f7d8||Increases Vigor regeneration. Extended duration. The effects of toxicity on Vigor regeneration is reduced.
2116942006|fc92150a||Increases Poise by 5 points with every hit landed, up to a maximum amount of 50 points. Each hit received reduces the current bonus by 10 points. Effect resets when leaving combat.
2116942007|d23efdaf||When a Quen shield shatters, there is a chance a new one will be cast at no cost. The bonus increases by $S$% for each piece of the set. Current chance is: $S$%.
2116942008|fad8f82b||Serves as both a silver and steel weapon.<br>Infinite durability.
2116942009|c43de44b||Increases the range of Whirl by $S$ yards and Rend by $S$ yards.<br>Casting a sign infuses the weapon with its power to be unleashed on the next Rend or Whirl attack.<br>Every kill made with Whirl or Rend absorbs a chunk of the opponent's stamina.
2116942010|d02fd0a4||Infinite durability.
2116942011|d0344c9e||Bereavement - I
2116942012|00000000||To cast a Sign, press <<CastSign>><br><br>Signs and certain other actions cost Vigor. Before you can cast a Sign again, you need to wait for your Vigor to regenerate.<br>To select a Sign, you can use the keyboard shortcuts <<SelectAard>> - <<SelectAxii>>
2116942013|00000000||To cast a Sign, press <<CastSign>><br><br>Signs and certain other actions cost Vigor. Before you can cast a Sign again, you need to wait for your Vigor to regenerate.
2116942014|00000000||When you enter combat, there's a $I$ percent chance you will automatically get a Quen shield without using any Vigor.
2116942015|8ed43e3e||After using Vigor to cast a Sign in its standard mode, the next Sign cast within $S$ seconds will be cast in standard mode without using Vigor.
2116942016|00000000||Attacks dealt from behind have $S$% more damage and stun opponents at the cost of $S$ Adrenaline.
2116942017|bcff1d6b||Sundering Blows
2116942018|00000000||Vigor
2116942019|00000000||Vigor steadily regenerates on its own and is influenced by your Health and Adrenaline.<br><br>Certain Abilities you can acquire allow you to perform special actions that require and consume Vigor.<br><br>Your Vigor decreases when you get hit by enemy attacks and a regeneration delay is incurred for a short time.
2116942020|05d154d8||Vigor
2116942021|07cca517||Adrenaline gain
2116942022|10b5ebbc||Adrenaline bonus
2116942023|363f99d1||Vigor increases the damage you deal. Vigor regenerates on its own as long as you do not get hit.
2116942024|c1e3a998||Vigor regenerates on its own as long as you don't get hit and is used to cast signs.
2116942025|c1e4f686||Adrenaline gain
2116942026|754d1899||Battle Trance now also increases critical hit chance by $I$% per available point of Vigor.
2116942027|00000000||Each point of available Vigor decreases damage received by $S$% (to a maximum of $S$%).
2116942028|874e9f86||Increases evasion speed and the maximum safe dodging angle.
2116942029|874e9f87||Increases evasion speed and the maximum safe dodging angle. Extended duration.
2116942030|874e9f88||Increases evasion speed and the maximum safe dodging angle. Extended duration.
2116942031|fbac9e5a||Armor
2116942032|f9289b86||Bereavement - III
2116942033|f9241f8c||The weapon causes ethereal shock damage to anything it gets in contact with, ignoring part of enemy armor.<br>Serves as both a silver and steel weapon.<br>Infinite durability.
2116942034|ccca9b60||Obliteration - I
2116942035|ccc61f66||The weapon flashes with fire on contact with enemies and sets them ablaze.
2116942036|c4426045||Severance - III
2116942037|f2e69faf||Striking opponents charges the saber over $S$ hits. As soon as the saber is charged, it emanates with red energy, which can be released through a strong attack. This attack drains the user's Vigor and if no Vigor is available, Vitality is drained instead.
2116942038|0cd9e187||Steel sword which is used when fighting humans and any non-supernatural monsters.
2116942039|a2b4930d||Silver sword which is used when fighting supernatural monsters. The soft metal keeps the blade from being durable.
2116942040|942892ef||Heavy gear, offering very good protection and high poise at the cost of agility. Very durable.
2116942041|320650a7||Medium-weight gear, offering a good balance of protection, agility and poise. Moderately durable.
2116942042|736e017e||Light gear, offering a low amount of physical protection and trading almost all poise for agility. Somewhat durable.
2116942043|c8ea3c4f||Blade Charges
2116942044|db0a0771||As long as at least one point of Vigor is available, the sword gets charged with fast attacks over $S$ hits. Once charged, strong attacks release the charge in a frosty blast and freeze enemies solid.
2116942045|1f59d012||Witcher 3 - Enhanced Edition
2116942046|11bda277||Toggle Stash
2116942047|d83e088e||Transfer Misc
2116942048|ffdb9c99||Adrenaline
2116942049|e2e48f8a||Heightened Senses
2116942050|003339b1||Mods
2116942051|2e4bfe5f||W3EE
2116942052|227edec9||Gameplay
2116942053|e263f45a||Controls
2116942054|05c0653e||Default
2116942055|b7916a78||Vanilla
2116942056|4848c3e3||Automatic Targeting
2116942057|5725a47a||Target Selection Mode
2116942058|72e16c8f||Improved
2116942059|5725a47b||Manual Targeting Mode
2116942060|8156cc19||Camera Targeting
2116942061|b673fd63||Movement Targeting
2116942062|ef7cf647||Dynamic Combat Stance
2116942063|da83e4f8||Targeting Options
2116942064|a9ebc48a||Keyboard
2116942065|4dd2177f||Controller
2116942066|12f8bf60||Camera Direction Weight
2116942067|28283baa||Movement Direction Weight
2116942068|fda62dd5||Facing Direction Weight
2116942069|cf4bb61a||Hysteresis (Target Stickiness)
2116942070|1da29a65||Only Check Targets On-Screen
2116942071|e9e35305||Sign Aiming With Camera
2116942072|a210f660||Disable Camera Lock on Hard-Lock
2116942073|539da705||Combat
2116942074|9b4bf62f||Whirl
2116942075|cdedee25||Whirl - Stamina Usage
2116942076|e98dd48e||Whirl - Damage Multiplier
2116942077|2e4a754c||Rend
2116942078|d4201fa8||Rend - Stamina Usage
2116942079|c96e1778||Rend - Stamina Damage Mult
2116942080|a9a1d36b||Rend - Damage Multiplier
2116942081|6950a5d7||Stamina & Speed
2116942082|6652be21||Attack Speed - Speed Cap High
2116942083|6652bea3||Attack Speed - Speed Cap Low
2116942084|e2e5663d||Attack Speed - Skill Dependency
2116942085|e5604186||Increments Per Skill Level - Fast Attack
2116942086|6a9dce2b||Increments Per Skill Level - Strong Attack
2116942087|7b55fae1||Increments Per Skill Level - Dodge & Roll
2116942088|e589982c||Increments Per Vigor Point - Fast Attacks
2116942089|6ac724d1||Increments Per Vigor Point - Strong Attacks
2116942090|92bf8de0||Increments Per Light Armor Piece
2116942091|e5b310ed||Decrements Per Heavy Armor Piece
2116942092|05d38a19||Base Stamina Cost - Fast Attacks
2116942093|b4bb76aa||Base Stamina Cost - Strong Attacks
2116942094|3e9c8bec||Base Stamina Cost - Movement
2116942095|b46a4a70||Base Stamina Cost - Block
2116942096|7d5fef1f||Base Stamina Cost - Counter
2116942097|4e0b2725||Stamina Regen Delay - Fast Attacks
2116942098|0f183720||Stamina Regen Delay - Strong Attacks
2116942099|3866c2f8||Stamina Regen Delay - Movement
2116942100|73264ee4||Stamina Regen Delay - Block
2116942101|7d2ca693||Stamina Regen Delay - Counter
2116942102|0b0b617d||Speed Penalty - Max Reduction Percentage At No Stamina
2116942103|6807cd3a||Speed Penalty - Max Reduction Percentage At No Health
2116942104|a73300b0||Speed Multiplier - Fast Attack
2116942105|bdafd9eb||Speed Multiplier - Strong Attack
2116942106|3f170a03||Speed Multiplier - Dodge & Roll
2116942107|140413b0||Finishers
2116942108|46723024||Finishers - Finisher Vulnerability
2116942109|45314908||Finishers - Allow Automatic Finishers
2116942110|4271ecaa||Finishers - Finisher Chance
2116942111|439ae176||Finishers - Dismemberment Chance
2116942112|221ceeb8||Finishers - Finisher Stamina Gain
2116942113|5489196c||Finishers - Dismember Stamina Gain
2116942114|05c21d3d||Defense
2116942115|a4df7b03||Dodge - Fleet Footed Angle Increase
2116942116|5c0d23d5||Dodge - No Fleet Footed Stagger
2116942117|58adaf72||Dodge - No Stagger Skill Level Required
2116942118|65bc17ca||Parry - Strong Attacks
2116942119|b05f80a3||Parry - Strong Attacks Stagger
2116942120|1eda3f6e||Counter - Strong Attacks
2116942121|5e301595||Counter - Adrenaline Gained
2116942123|1ee1afd4||Counter - Human Attacks
2116942124|ec310082||Counter Type - Sword Counter
2116942125|3b04e973||Counter Type - Kick
2116942126|69528125||Counter Type - Bash
2116942127|5c5a967f||Counter - Heavy Human Attacks
2116942128|badd96e0||Counter - Human Attacks (Two Handed Weapon)
2116942129|eb8d88c1||Counter - Monster Attacks
2116942130|ae6770ac||Counter - Heavy Monster Attacks
2116942131|3d5d4206||Sword Counter - Bleed Damage Per Skill Level
2116942132|3d5d4309||Sword Counter - Bleed Duration Per Skill Level
2116942133|d0fd1a10||Sword Counter - Chance to Disarm Shields
2116942134|d733dc74||Kick Counter - Stamina Damage Per Skill Level
2116942135|f622a343||Kick Counter - Stamina Regeneration Delay
2116942136|708c21ae||Bash Counter (Knockdown) - Player Vigor Threshold
2116942137|c82d7fae||Bash Counter (Knockdown) - Player Stamina Threshold
2116942138|958941c7||Bash Counter (Knockdown) - Enemy Health Threshold
2116942139|9b3e4b34||Vigor
2116942140|d6331db0||Vigor - Maximum Value
2116942141|18f1885e||Vigor Regen - Speed Multiplier
2116942142|1819419a||Vigor Regen - Regen Delay
2116942143|bc878d7b||Vigor Degeneration - Light Hits
2116942144|bc4d492c||Vigor Degeneration - Heavy Hits
2116942145|e04cf46f||Vigor Degeneration - Super Heavy Hits
2116942146|699d41df||Intensity Lost Per Vigor (Percentage)
2116942147|9db606f8||Injuries
2116942148|7f768c8e||Injury - Chance On Hit
2116942149|8a38869a||Injury - Player Immunity
2116942150|7c3ab1ed||Injury - Messages
2116942151|3a8c0952||Animations
2116942152|9793ec7e||Animation - Drinking Animation
2116942153|3cc0527e||Animation - Eating Animation
2116942154|2ab8cec4||Animation - Oiling Animation
2116942155|5ea74dc8||Animation - Looting Animation
2116942156|859f56da||Toxicity
2116942157|4397aa7f||Toxicity - Active Toxicity Degeneration Mult
2116942158|d63030b8||Toxicity - Dormant Toxicity Degeneration Mult
2116942159|d1142387||Toxicity - Fever Duration Mult
2116942160|6aa63dce||Toxicity - Fever Chance Mult
2116942161|88549da1||
2116942162|e8fd2720||Toxicity - Residual Toxicity Degeneration Mult
2116942163|49f96d23||Enemies
2116942164|859f0f54||Aggression & Dodging
2116942165|10ffc068||Enemy Combat Aggressiveness
2116942166|2e4c6141||Very Low
2116942167|9ab4553e||Lower
2116942168|859f38d1||Low
2116942169|bf3dda4a||Normal
2116942170|2e45f7c5||High
2116942171|b4a72732||Higher
2116942172|9b3ddd55||Very High
2116942173|a6ccb014||Enemy Dodge - Negate Damage
2116942174|be1562b8||Enemy Dodge - Damage Taken (Percentage)
2116942175|b552e249||Humans
2116942176|d6ca4db4||Unskilled
2116942177|859f1228||Hits Before Trying Block
2116942178|859f1229||Chance To Raise Block
2116942179|859f122a||Chance To Lower Block
2116942180|859f122b||Additive Chance Per Hit
2116942181|859f122c||Chance To Parry Attack
2116942182|859f122d||Chance To Dodge Light
2116942183|859f122e||Chance To Dodge Heavy
2116942184|859f122f||Chance To Dodge Signs
2116942185|859f1230||Chance To Dodge Projectiles
2116942186|2e433308||Blocks Before Trying Counter
2116942187|2e433309||Chance To Counter Attack
2116942188|2e43330a||Blocks Before Trying Counter
2116942189|bf3f9cf9||Novice
2116942190|9a141063||Adept
2116942191|b0600b8d||Expert
2116942192|beb79dbc||Veteran
2116942193|9e325da2||Novice Shield
2116942194|b9e28d36||Expert Shield
2116942195|10490a57||Two Handed
2116942196|9aade578||Large
2116942197|9b15bf44||Small
2116942198|78d9047c||Monsters
2116942199|816b6a28||Attacks
2116942200|a3b6995f||Attack Angle - Side Attacks (Degrees)
2116942201|a3aec0ef||Attack Angle - Rear Attacks (Degrees)
2116942202|164c34e7||Deadly Precision - Knockdown Chance
2116942203|0a33c6e2||Deadly Precision - Long Stagger Chance
2116942204|dce9d15e||Deadly Precision - Stagger Chance
2116942205|42e86344||Sundering Blows - Block Break Chance
2116942206|eb472621||Rewards
2116942207|194999f0||Quest - Experience Scaling
2116942208|a53888a7||Quest - Gold Reward Scaling
2116942209|5ba513ca||Quest - Experience Multiplier
2116942210|0551f233||Quest - Gold Reward Multiplier
2116942211|f704168c||Fighting - Experience Downscaling
2116942212|e5713ee6||Fighting - Experience Multiplier
