;meta[language=en]
; id      |key(hex)|key(str)| text
   1185681|8287c132||Basket of carrots
   1185723|420aa048||It is seven years today since we last saw Syanna and Anarietta. The spell is really starting to decay now -- and some of the residents of this land are beginning to go mad. The Wolf murdered Little Red Riding Hood and the Hunter, the Witch roasted Tom Thumb alive along with the Seven Hengforsians, and pixies attack anyone who comes near. We sought shelter in the clouds, but the Giant drove us away. Our last resort is the ship of King Thrushbeard. We are planning to wait the worst of it out in the middle of the lake.
   1185722|5f1a3d7e||The pages are drenched and the words are hardly legible.
   1185721|73c0e844||Ole Lukoje's notes
   1185698|44050005||Shelter Owner
   1185649|49e893df||Morholt
   1185639|d5c32f77||After midnight
   1185638|5d736955||Ducal Palace, Beauclair
   1185411|0cd1e3b6||The Road to Castel Ravello
   1185408|c890d374||The Ruins of Fort Astre
   1185303|9a5471ae||12 September 1121<br>I’ve received confirmation Jerome has arrived and is staying at Fort Ussar. I am so giddy with anticipation I cannot continue my work. Yet I must try to calm myself and see through my plan.<br><br>13 September 1121<br>He arrived quite unexpectedly, right after dusk! He has changed a great deal – he is thin, wiry, all covered in scars. He was, of course, furious I brought him here under false pretexts, but what choice did I have? One day he will be a father himself and then he will understand what drives me.<br><br>I opened a portal in my study and brought Jerome to my lab. In doing so I exhausted my activation crystal, but luckily I have a spare. I gave the lad some time to think things over, for I’d rather do all this with his willing participation. Meanwhile I shall prepare the apparatus.
   1185302|49874f1e||Moreau's journal
   1185301|a3c0d60d||The witcher I summoned reached Ussar on the 12th of September. He made a favorable impression. I had expected a cold killer, yet found myself speaking with someone who could easily be mistaken for a normal man – if not for his expansive knowledge concerning the habits of monsters, the two swords on his back and the griffin-head medallion on his chest. Jerome, as he was called, asked me a great many questions about the beast seen near Mont Crane castle. Based on my responses he concluded the monster in question was a leshen.<br><br>During our next conversation the witcher expressed his astonishment at being offered such a high reward, and one paid in advance, before he even arrived in Toussaint. I had taken a liking to the fellow and wanted to be honest with him. Despite the vow I had sworn, I revealed his pay came entirely from a certain Moreau, a mage, who had decided to use this gift to thank our community for a warm welcome.<br><br>When Jerome heard the mage’s name, he first went pale, then flew into a rage. He shouted, and I quote: “Gonna give that old bastard a piece of my mind!”,  then ran to the stables, mounted his steed and rode off, leaving the greater part of his possessions behind. He was seen on the road to Mont Crane, but then disappeared, like a rock thrown in deep water. Master Moreau claims he never saw the witcher.
   1185300|f4b76b5f||Captain Augustus Fierabras' report
   1185305|602fb594||Paralyzing spell’s worn off, but portal’s still inactive, meaning I’m still stuck here. Too bad I left most of my stuff back at Fort Ussar – without my gear, I stand no chance of escaping.<br><br>Think I’m gonna die in this place.<br><br>You took my swords, took anything that could be used as a weapon. Even gotta write this letter on the back of a diagram.<br><br>But before I die, I wanna tell you one thing: you’re a madman and always have been. A cruel, cold-blooded murderer. I haven’t felt anything for you for a long time. Anything but hate. I’m done with you and I hope you pay for your crimes one day.<br><br>Jerome
   1185304|dc3eb378||Notes on the back of a diagram
   1185335|87c212b8||Pomino - 1273 vintage.
   1185334|5564f5e0||Fiorano - 1272 vintage.
   1185333|d6b082a3||Erveluce - 1269 vintage.
   1185332|31cd12f1||Est Est - 1269 vintage.
   1185325|ce406e28||Fabricio
   1185174|3d8dadba||Junod of Belhaven's journal
   1185182|e41795f1||Count Beledal's map
   1185184|cfda4a77||A map of northwest Toussaint with two areas marked out.
